Percentile,CMAX_dBZ,SDRR_dBZ,Difference_dBZ
69.5,-25,0.568,-25.568
69.45,-25,0.564,-25.564
69.4,-25,0.56,-25.56
69.35,-25,0.556,-25.556
69.3,-25,0.552,-25.552
69.25,-25,0.548,-25.548
69.2,-25,0.544,-25.544
69.15,-25,0.54,-25.54
69.1,-25,0.536,-25.536
69.05,-25,0.532,-25.532
69,-25,0.528,-25.528
68.95,-25,0.524,-25.524
68.9,-25,0.52,-25.52
68.85,-25,0.516,-25.516
68.8,-25,0.512,-25.512
68.75,-25,0.508,-25.508
68.7,-25,0.504,-25.504
68.65,-25,0.501,-25.501
68.6,-25,0.497,-25.497
68.55,-25,0.493,-25.493
68.5,-25,0.489,-25.489
68.45,-25,0.486,-25.486
68.4,-25,0.482,-25.482
68.35,-25,0.479,-25.479
68.3,-25,0.475,-25.475
68.25,-25,0.472,-25.472
68.2,-25,0.468,-25.468
68.15,-25,0.465,-25.465
68.1,-25,0.461,-25.461
68.05,-25,0.458,-25.458
68,-25,0.455,-25.455
67.95,-25,0.451,-25.451
67.9,-25,0.448,-25.448
67.85,-25,0.445,-25.445
67.8,-25,0.442,-25.442
67.75,-25,0.439,-25.439
67.7,-25,0.435,-25.435
67.65,-25,0.432,-25.432
67.6,-25,0.429,-25.429
67.55,-25,0.426,-25.426
67.5,-25,0.423,-25.423
67.45,-25,0.42,-25.42
67.4,-25,0.417,-25.417
67.35,-25,0.415,-25.415
67.3,-25,0.412,-25.412
67.25,-25,0.409,-25.409
67.2,-25,0.406,-25.406
67.15,-25,0.403,-25.403
67.1,-25,0.401,-25.401
67.05,-25,0.398,-25.398
67,-25,0.395,-25.395
66.95,-25,0.392,-25.392
66.9,-25,0.39,-25.39
66.85,-25,0.387,-25.387
66.8,-25,0.384,-25.384
66.75,-25,0.382,-25.382
66.7,-25,0.379,-25.379
66.65,-25,0.377,-25.377
66.6,-25,0.374,-25.374
66.55,-25,0.371,-25.371
66.5,-25,0.369,-25.369
66.45,-25,0.366,-25.366
66.4,-25,0.364,-25.364
66.35,-25,0.361,-25.361
66.3,-25,0.359,-25.359
66.25,-25,0.356,-25.356
66.2,-25,0.354,-25.354
66.15,-25,0.351,-25.351
66.1,-25,0.349,-25.349
66.05,-25,0.347,-25.347
66,-25,0.344,-25.344
65.95,-25,0.342,-25.342
65.9,-25,0.339,-25.339
65.85,-25,0.337,-25.337
65.8,-25,0.335,-25.335
65.75,-25,0.332,-25.332
65.7,-25,0.33,-25.33
65.65,-25,0.327,-25.327
65.6,-25,0.325,-25.325
65.55,-25,0.323,-25.323
65.5,-25,0.321,-25.321
65.45,-25,0.318,-25.318
65.4,-25,0.316,-25.316
65.35,-25,0.314,-25.314
65.3,-25,0.311,-25.311
65.25,-25,0.309,-25.309
65.2,-25,0.307,-25.307
65.15,-25,0.305,-25.305
65.1,-25,0.302,-25.302
65.05,-25,0.3,-25.3
65,-25,0.298,-25.298
64.95,-25,0.296,-25.296
64.9,-25,0.294,-25.294
64.85,-25,0.291,-25.291
64.8,-25,0.289,-25.289
64.75,-25,0.287,-25.287
64.7,-25,0.285,-25.285
64.65,-25,0.283,-25.283
64.6,-25,0.281,-25.281
64.55,-25,0.278,-25.278
64.5,-25,0.276,-25.276
64.45,-25,0.274,-25.274
64.4,-25,0.272,-25.272
64.35,-25,0.27,-25.27
